#{"t_start": 1700864018.2329156, "env_id": "QuadrotorPlusHoverEnv-v0"}
r,l,t
-32.583655,14,27.819802
-37.789318,8,27.835125
-47.424265,12,27.859748
-7.226613,15,27.912849
-24.863978,12,27.935325
-46.576526,13,27.966414
-23.049193,13,27.991522
-21.7807,12,28.013309
-38.420689,14,28.041602
-7.791889,13,28.956908
-34.617486,16,28.993646
-27.89861,15,29.027359
-43.011471,13,29.05384
-28.436207,15,29.08811
-37.01842,14,29.147491
-7.358366,16,29.181153
-40.594235,10,29.208533
-21.636504,13,29.236377
-22.156105,15,29.26636
-37.943581,12,29.306017
27.008434,19,29.360051
-33.988384,17,29.400211
-44.578468,10,29.422959
-6.480369,14,29.456949
-20.423914,13,29.483481
-34.296277,15,29.518252
-54.3822,13,29.547832
-42.772125,11,29.580252
-16.962025,13,29.612974
-21.048767,12,29.654675
-38.487618,13,29.680488
-34.606479,13,29.714343
-0.647205,15,29.743903
-39.751388,15,29.783952
-42.634231,15,29.824416
-42.527298,11,29.844709
-37.345211,15,29.882391
-32.555427,12,29.913345
-17.577409,16,29.948952
-8.512928,14,29.989873
-7.248463,18,30.034657
2.65599,17,30.068285
-29.23956,11,30.08852
-29.413966,13,30.114863
-23.07801,19,30.165277
-66.00125,17,30.2125
-17.692727,13,30.240391
-14.520914,14,30.266335
-20.863869,16,30.296599
-9.688697,14,30.33338
-17.893966,16,30.385772
-33.57673,12,30.41048
-31.725527,17,30.4431
-18.954386,18,30.478098
-32.183531,9,30.494153
-25.046968,16,30.526748
-21.807752,14,30.581452
-20.072285,16,30.614089
-33.006053,14,30.643663
-36.884293,15,30.677511
-32.992208,11,30.698241
-12.858965,12,30.742286
-22.124725,14,30.775793
-32.587631,11,30.795739
-54.76673,15,30.827012
-34.662046,11,30.87345
-8.84283,13,30.896789
-15.60878,19,30.93967
-35.441107,12,30.961909
-32.194775,12,30.988425
-13.405289,11,31.033773
-27.56523,12,31.057408
-38.624996,13,31.087867
-27.030883,10,31.107948
-30.682251,14,31.133919
-12.899027,14,31.160397
2.182839,15,31.188698
-40.253757,15,31.241274
-34.826918,12,31.262793
-22.959518,14,31.29798
-25.248023,13,31.346349
-17.087044,15,31.384289
-25.961361,14,31.411966
-20.283324,12,31.432853
-54.471879,19,31.468175
-16.946449,13,31.494215
-22.494687,16,31.525452
-14.901069,11,31.547138
-35.124258,12,31.569239
-33.147687,12,31.624027
-30.672784,15,31.653875
-18.322857,11,31.683085
-10.837566,14,31.708269
-29.458029,14,31.756585
-24.705438,10,31.77963
-9.037733,17,31.811885
-36.657973,12,31.833515
-12.150146,13,31.859535
-33.520558,16,31.889744
-23.649216,14,31.946875
-2.694038,14,31.975496
-42.205478,12,31.998201
7.561926,14,32.024612
-32.774809,11,32.046276
-33.229986,12,32.06772
-40.611194,20,32.134228
-29.858663,10,32.156561
-54.491071,20,32.194046
-42.558968,13,32.247433
-25.949451,10,32.265463
-35.41295,13,32.294962
